feature,importance
conditionals_day4_day1_ratio,9.014879244209762
conditionals_tissue_Haematopoietic and Lymphoid,7.739065335345602
conditionals_tissue_Lung,1.715673610239158
conditionals_mut_TP53,1.6076906407375275
conditionals_mut_KRAS,0.9773711314992828
conditionals_mut_KMT2D,0.7328220798361975
copynumber_RSPH10B2,0.6489353616614822
copynumber_CDKN2A,0.5061688011505997
conditionals_tissue_Skin,0.46227640663673747
conditionals_tissue_Central Nervous System,0.45950389733917407
drugresponse_1034;Staurosporine;GDSC2,0.42101018549328884
copynumber_PTPN13,0.38750136629589743
copynumber_PTPRD,0.3774662741569768
copynumber_ZMYM2,0.3627487824244217
copynumber_NBEA,0.3594101806693663
copynumber_APOBEC3B,0.3570720332445814
conditionals_mut_PIK3CA,0.3515309557910763
copynumber_FAT1,0.3405245778505039
drugresponse_1918;AZD8186;GDSC2,0.33907535701633273
drugresponse_1079;Dasatinib;GDSC2,0.33837287554140916
copynumber_SDHA,0.33028951872652146
drugresponse_1058;Pictilisib;GDSC2,0.32648746240986687
drugresponse_1372;Trametinib;GDSC2,0.32438935825823717
drugresponse_1932;NVP-ADW742;GDSC2,0.3235263013052951
conditionals_tissue_Large Intestine,0.31628486806298667
copynumber_GNAS,0.31184136222658476
drugresponse_1036;PLX-4720;GDSC2,0.30845094642787396
copynumber_CR1,0.3068098376407473
drugresponse_2107;LJI308;GDSC2,0.3042959527593112
drugresponse_1926;GNE-317;GDSC2,0.3040173540174919
drugresponse_1549;Sapatinib;GDSC2,0.3038140008286577
conditionals_mut_ARID1A,0.3030355087098196
drugresponse_1016;Temsirolimus;GDSC1,0.29861458405871705
conditionals_mut_PABPC1,0.29762446123544367
drugresponse_1008;Methotrexate;GDSC2,0.29608086949625345
drugresponse_1091;BMS-536924;GDSC2,0.2948555044768842
conditionals_mut_CREBBP,0.29344963855317474
conditionals_mut_BRAF,0.29266103587015097
drugresponse_1527;Pictilisib;GDSC1,0.29097659495118633
copynumber_SS18L1,0.2883400282669288
drugresponse_2043;BIBR-1532;GDSC2,0.28779968238015774
copynumber_KDSR,0.28733884819479005
drugresponse_1510;Linsitinib;GDSC2,0.28610931628345926
drugresponse_1561;Taselisib;GDSC2,0.28603736163246213
copynumber_BCL2,0.2851365933706043
drugresponse_1558;Lapatinib;GDSC2,0.28456099027094084
copynumber_NRK,0.28193502403780873
drugresponse_1060;PD0325901;GDSC2,0.28069341177123774
copynumber_MYC,0.28057918139147003
conditionals_mut_HLA-A,0.2802133862828336
drugresponse_1053;MK-2206;GDSC2,0.27988864300374205
drugresponse_1564;SCH772984;GDSC2,0.2791983741724075
drugresponse_1032;Afatinib;GDSC2,0.27830297150346767
drugresponse_184;BMS-754807;GDSC1,0.27761793013319924
drugresponse_1008;Methotrexate;GDSC1,0.27693668336684935
copynumber_PSIP1,0.2763958086736327
copynumber_NFATC2,0.2763235483538257
drugresponse_1069;EHT-1864;GDSC2,0.27521566077139287
drugresponse_1019;Bosutinib;GDSC1,0.27234683220136324
copynumber_CDK6,0.27101748102712936
drugresponse_1924;Ipatasertib;GDSC2,0.2709209190878951
conditionals_mut_RB1,0.2707560603261724
drugresponse_1200;Fulvestrant;GDSC2,0.27014981103133406
metabolomics_C18:1 CE,0.2688082095862216
drugresponse_1560;Alpelisib;GDSC2,0.26822677051411575
drugresponse_1413;EphB4_9721;GDSC1,0.26793912692775557
drugresponse_1373;Dabrafenib;GDSC2,0.2663488198858014
copynumber_KMT2C,0.26357127235128724
