dataset,val_drug_loss,val_crispr_loss,total_loss
"['drugresponse', 'crisprcas9', 'proteomics']",0.6146801114082336,0.8532560070355734,1.4679361184438071
"['drugresponse', 'crisprcas9', 'metabolomics']",0.5944294929504395,0.808921217918396,1.4033507108688354
"['drugresponse', 'crisprcas9', 'methylation']",0.6515754063924154,0.8598542809486389,1.5114296873410544
"['drugresponse', 'crisprcas9', 'transcriptomics']",0.6287388205528259,0.8336779673894247,1.4624167879422507
"['drugresponse', 'crisprcas9', 'copynumber']",0.6081369916598002,0.8204139073689779,1.428550899028778
"['drugresponse', 'crisprcas9', 'metabolomics', 'proteomics']",0.5932581822077433,0.8419639070828756,1.435222089290619
"['drugresponse', 'crisprcas9', 'metabolomics', 'methylation']",0.6189059813817342,0.8526208599408468,1.471526841322581
"['drugresponse', 'crisprcas9', 'metabolomics', 'transcriptomics']",0.6251338322957357,0.8361612558364868,1.4612950881322226
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber']",0.5526124040285746,0.8271555304527283,1.3797679344813027
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'proteomics']",0.584267258644104,0.8470049699147543,1.4312722285588584
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'methylation']",0.6036519408226013,0.8507892886797587,1.4544412295023599
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'transcriptomics']",0.6007203658421835,0.8384364048639933,1.4391567707061768
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'proteomics', 'methylation']",0.6070278684298197,0.8584450483322144,1.465472916762034
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'proteomics', 'transcriptomics']",0.6278524398803711,0.852551281452179,1.48040372133255
"['drugresponse', 'crisprcas9', 'metabolomics', 'copynumber', 'proteomics', 'methylation', 'transcriptomics']",0.6454554398854574,0.8588557044665018,1.5043111443519592
