feature,importance,omic_layer
conditionals_tissue_Haematopoietic and Lymphoid,12.880704907046663,conditionals
copynumber_RSPH10B2,5.19257575569011,copynumber
conditionals_day4_day1_ratio,4.238982198537619,conditionals
conditionals_mut_TP53,3.71884888219924,conditionals
copynumber_CDKN2A,3.5212556939321384,copynumber
conditionals_tissue_Lung,2.829811814051257,conditionals
copynumber_ZMYM2,2.363735350758086,copynumber
copynumber_PCM1,2.3055876839322123,copynumber
copynumber_NBEA,2.276138681557825,copynumber
copynumber_PMS2,2.0947309571962194,copynumber
copynumber_MITF,2.037044268289834,copynumber
copynumber_DROSHA,2.015303947660961,copynumber
copynumber_MYC,1.917552951381512,copynumber
copynumber_NPEPPS,1.8666354483037255,copynumber
copynumber_NFIB,1.8328329316455867,copynumber
copynumber_UGT2B17,1.732128132925017,copynumber
metabolomics_glutamate,1.6564810049231595,metabolomics
copynumber_PTPN13,1.6536723296211158,copynumber
copynumber_ETV1,1.6164986824716854,copynumber
copynumber_SDHA,1.5939764340647986,copynumber
copynumber_APOBEC3B,1.5743352688570806,copynumber
drugresponse_1382;AZD3514;GDSC1,1.5570909851840395,drugresponse
copynumber_TBL1XR1,1.5420882651515266,copynumber
drugresponse_1941;Sepantronium bromide;GDSC2,1.5417159687281503,drugresponse
copynumber_TGIF1,1.5019681275016434,copynumber
drugresponse_1008;Methotrexate;GDSC2,1.5005498676403353,drugresponse
conditionals_tissue_Central Nervous System,1.497367851282037,conditionals
metabolomics_1-methylnicotinamide,1.4935918863473994,metabolomics
drugresponse_1413;EphB4_9721;GDSC1,1.4848976421342288,drugresponse
metabolomics_cis/trans-hydroxyproline,1.45926536293613,metabolomics
copynumber_FAT1,1.4335174295571036,copynumber
copynumber_MGA,1.4214507491410502,copynumber
copynumber_NRK,1.420211387594843,copynumber
metabolomics_C50:2 TAG,1.401794341504496,metabolomics
drugresponse_1034;Staurosporine;GDSC2,1.3990501806734894,drugresponse
drugresponse_1008;Methotrexate;GDSC1,1.397552357813285,drugresponse
copynumber_MYB,1.3820520675537598,copynumber
