feature,importance,omic_layer
conditionals_tissue_Haematopoietic and Lymphoid,14.083138637073974,conditionals
copynumber_RSPH10B2,7.048193195671844,copynumber
copynumber_CDKN2A,5.409983922553781,copynumber
conditionals_mut_TP53,4.250230038729171,conditionals
conditionals_day4_day1_ratio,3.5593322861429955,conditionals
copynumber_PCM1,3.2053095341028754,copynumber
copynumber_ZMYM2,3.133044126207948,copynumber
conditionals_tissue_Lung,2.9534470486851303,conditionals
copynumber_NBEA,2.7541780767544606,copynumber
copynumber_NFIB,2.60033710370837,copynumber
copynumber_MITF,2.598634049136719,copynumber
copynumber_PMS2,2.506594344471918,copynumber
drugresponse_1079;Dasatinib;GDSC2,2.392081283337971,drugresponse
copynumber_UGT2B17,2.39049112225944,copynumber
copynumber_NPEPPS,2.3622860075354017,copynumber
drugresponse_1248;Daporinad;GDSC1,2.314311253434323,drugresponse
copynumber_MYC,2.298360337851203,copynumber
metabolomics_cis/trans-hydroxyproline,2.2643134569547936,metabolomics
copynumber_DROSHA,2.2059006762807547,copynumber
copynumber_MLLT3,2.2012418250208605,copynumber
drugresponse_1034;Staurosporine;GDSC2,2.146669084432334,drugresponse
drugresponse_1008;Methotrexate;GDSC2,2.093984078512365,drugresponse
drugresponse_478;LDN-193189;GDSC1,2.0550207365665103,drugresponse
copynumber_ETV1,2.0125387636736503,copynumber
drugresponse_1028;VX-702;GDSC1,2.0060877338841743,drugresponse
drugresponse_1413;EphB4_9721;GDSC1,1.9715594568871,drugresponse
drugresponse_1049;PD173074;GDSC1,1.962879108497904,drugresponse
copynumber_TBL1XR1,1.9577117275962697,copynumber
metabolomics_1-methylnicotinamide,1.9187552436227788,metabolomics
metabolomics_niacinamide,1.8908595543058784,metabolomics
drugresponse_1941;Sepantronium bromide;GDSC2,1.8800536878228784,drugresponse
drugresponse_1069;EHT-1864;GDSC1,1.874847244916876,drugresponse
metabolomics_C16:0 LPC,1.874342165760804,metabolomics
copynumber_PTPRD,1.8709596980719696,copynumber
metabolomics_threonine,1.8620335421050231,metabolomics
drugresponse_1382;AZD3514;GDSC1,1.861650149815803,drugresponse
metabolomics_C18:0 LPC,1.8613318510796488,metabolomics
metabolomics_ornithine,1.861263465866415,metabolomics
metabolomics_C54:3 TAG,1.8365365938903804,metabolomics
metabolomics_C52:3 TAG,1.835763993405738,metabolomics
copynumber_MGA,1.8158814216185464,copynumber
drugresponse_1918;AZD8186;GDSC2,1.8091950499277425,drugresponse
copynumber_RAC1,1.7932967974627805,copynumber
copynumber_NDRG1,1.7791649788989423,copynumber
copynumber_NRK,1.7521577569391449,copynumber
drugresponse_1007;Docetaxel;GDSC1,1.7497685038232729,drugresponse
metabolomics_C50:1 TAG,1.746399843880038,metabolomics
metabolomics_C16:0 CE,1.7429507964610105,metabolomics
"drugresponse_436;CAP-232, TT-232, TLN-232;GDSC1",1.7406951946813658,drugresponse
copynumber_TOP2A,1.7389379726502183,copynumber
drugresponse_1149;TW 37;GDSC1,1.7329660256773016,drugresponse
metabolomics_asparagine,1.7326855596579618,metabolomics
drugresponse_1032;Afatinib;GDSC1,1.7315031331349533,drugresponse
metabolomics_C54:4 TAG,1.7284003306773317,metabolomics
copynumber_APOBEC3B,1.7274133028128016,copynumber
drugresponse_136;Mitomycin-C;GDSC1,1.723832380416546,drugresponse
metabolomics_C48:1 TAG,1.722357185835455,metabolomics
copynumber_PTPN13,1.7125614384941452,copynumber
drugresponse_1008;Methotrexate;GDSC1,1.7109511773699322,drugresponse
copynumber_RB1,1.7022736345005196,copynumber
copynumber_SMAD4,1.6956732045863774,copynumber
copynumber_SDHA,1.6942421705312225,copynumber
metabolomics_SDMA/ADMA,1.6857216725312267,metabolomics
metabolomics_C18:1 LPC,1.672837750242083,metabolomics
metabolomics_C52:2 TAG,1.6711176779662729,metabolomics
drugresponse_1011;Navitoclax;GDSC2,1.6711071405247642,drugresponse
drugresponse_1932;NVP-ADW742;GDSC2,1.669379927953785,drugresponse
drugresponse_1850;Tepotinib;GDSC2,1.6686756195184096,drugresponse
copynumber_EXT1,1.665557116015095,copynumber
copynumber_MYB,1.6640859514033,copynumber
metabolomics_valine,1.662209870093653,metabolomics
drugresponse_1014;Refametinib;GDSC1,1.6530766800855627,drugresponse
drugresponse_269;NSC-207895;GDSC1,1.6482466996107838,drugresponse
drugresponse_1908;Ulixertinib;GDSC2,1.6455769212003064,drugresponse
drugresponse_1598;LGK974;GDSC2,1.645412198979154,drugresponse
drugresponse_380;BIBF-1120;GDSC1,1.6342365793832772,drugresponse
metabolomics_butyrobetaine,1.6332671675248485,metabolomics
drugresponse_2162;Danusertib;GDSC2,1.6309569507837691,drugresponse
copynumber_CD274,1.63031897607412,copynumber
metabolomics_C18:0 LPE,1.62859096127769,metabolomics
copynumber_PDCD1LG2,1.628369761498671,copynumber
metabolomics_adenosine,1.6188897224718024,metabolomics
drugresponse_372;Pilaralisib;GDSC1,1.618879171980424,drugresponse
copynumber_RAD21,1.6145742219717454,copynumber
drugresponse_476;SB505124;GDSC1,1.6095972006507662,drugresponse
drugresponse_171;AKT inhibitor VIII;GDSC1,1.6019941564697486,drugresponse
drugresponse_1133;Serdemetan;GDSC1,1.6006808342230858,drugresponse
drugresponse_1549;Sapatinib;GDSC2,1.599534642454873,drugresponse
copynumber_JAK2,1.5968569347177095,copynumber
drugresponse_1561;Taselisib;GDSC2,1.5957954398465508,drugresponse
metabolomics_C50:2 TAG,1.5913537337898338,metabolomics
metabolomics_C34:2 PC,1.5861756491984893,metabolomics
drugresponse_1910;ABT737;GDSC2,1.5860443307463987,drugresponse
metabolomics_acetylcarnitine,1.5789209431943407,metabolomics
metabolomics_C24:1 SM,1.5750806574074514,metabolomics
drugresponse_2043;BIBR-1532;GDSC2,1.5749875972218712,drugresponse
drugresponse_207;AS601245;GDSC1,1.5705778309717158,drugresponse
drugresponse_1039;SL0101;GDSC1,1.5683147718326111,drugresponse
drugresponse_374;GSK1059615;GDSC1,1.5643804620393065,drugresponse
drugresponse_1061;SB590885;GDSC2,1.5552409769820827,drugresponse
drugresponse_1048;Mirin;GDSC1,1.5479711441125117,drugresponse
copynumber_CUX1,1.5479204002413296,copynumber
drugresponse_1510;Linsitinib;GDSC2,1.5478169816189151,drugresponse
copynumber_FAT1,1.546909790034268,copynumber
drugresponse_156;AZD6482;GDSC1,1.5449837242546205,drugresponse
drugresponse_552;BAM7;GDSC1,1.5425190263202635,drugresponse
drugresponse_1498;Selumetinib;GDSC1,1.5408077809221252,drugresponse
drugresponse_1038;NU7441;GDSC1,1.5387560605511543,drugresponse
drugresponse_1092;Saracatinib;GDSC2,1.5372148426736916,drugresponse
metabolomics_C36:2 PC,1.5351745214631582,metabolomics
drugresponse_1036;PLX-4720;GDSC2,1.5314692511024857,drugresponse
copynumber_ASXL1,1.5257898401926366,copynumber
drugresponse_1409;AZD4877;GDSC1,1.524722450857765,drugresponse
copynumber_PSIP1,1.524690226073688,copynumber
drugresponse_1495;Olaparib;GDSC1,1.515811693728614,drugresponse
copynumber_TCF4,1.5154991255486725,copynumber
drugresponse_1032;Afatinib;GDSC2,1.5147037169211677,drugresponse
drugresponse_576;RU-SKI 43;GDSC1,1.5140050024548632,drugresponse
drugresponse_1047;Nutlin-3a (-);GDSC1,1.5138082628538776,drugresponse
drugresponse_1051;Alisertib;GDSC2,1.513203729639769,drugresponse
metabolomics_F1P/F6P/G1P/G6P,1.5085642022621697,metabolomics
drugresponse_375;Voxtalisib;GDSC1,1.5079785532771193,drugresponse
copynumber_RECQL4,1.507502672355478,copynumber
metabolomics_UDP-galactose/UDP-glucose,1.5055927843002903,metabolomics
drugresponse_1054;Palbociclib;GDSC1,1.502974149045767,drugresponse
drugresponse_1013;Nilotinib;GDSC2,1.4986913679410856,drugresponse
drugresponse_1018;Veliparib;GDSC1,1.497647408647886,drugresponse
metabolomics_C18:1 CE,1.4941743288902816,metabolomics
drugresponse_175;PAC-1;GDSC1,1.4907257363724211,drugresponse
copynumber_FAM135B,1.4894021481206483,copynumber
metabolomics_C36:3 PC,1.4884267073916246,metabolomics
drugresponse_446;MIM1;GDSC1,1.486297780061714,drugresponse
copynumber_CARD11,1.486259401288362,copynumber
drugresponse_1927;GSK2578215A;GDSC2,1.484385715509165,drugresponse
drugresponse_170;Shikonin;GDSC1,1.4838696246811751,drugresponse
drugresponse_1241;CHIR-99021;GDSC1,1.483409213360217,drugresponse
drugresponse_1924;Ipatasertib;GDSC2,1.4813841518174418,drugresponse
conditionals_tissue_Central Nervous System,1.4810798874017874,conditionals
drugresponse_1025;SB216763;GDSC2,1.4747923045396156,drugresponse
metabolomics_NAD,1.4734022396841338,metabolomics
metabolomics_C54:6 TAG,1.472818477388809,metabolomics
metabolomics_arginine,1.4712721063053151,metabolomics
conditionals_tissue_Skin,1.470782613552369,conditionals
metabolomics_C48:2 TAG,1.470211410828315,metabolomics
drugresponse_1067;CCT007093;GDSC1,1.4675575516041974,drugresponse
metabolomics_C54:2 TAG,1.4668889296246177,metabolomics
metabolomics_glycine,1.4650040814012577,metabolomics
drugresponse_264;ACY-1215;GDSC1,1.4640343929791346,drugresponse
metabolomics_C48:0 TAG,1.4622915574062545,metabolomics
drugresponse_2466;CA3;GDSC2,1.4612909672234171,drugresponse
drugresponse_1219;PFI-1;GDSC1,1.4609158307051302,drugresponse
copynumber_PTEN,1.4549732633322725,copynumber
drugresponse_1436;MCT1_6447;GDSC1,1.45173015936704,drugresponse
drugresponse_1236;UNC0638;GDSC1,1.4501745632813383,drugresponse
drugresponse_1001;AICA Ribonucleotide;GDSC1,1.448999235320917,drugresponse
drugresponse_1047;Nutlin-3a (-);GDSC2,1.4473408568594324,drugresponse
